Datetime,Location Code,Expected Value kWh,Capacity kWp,IRR Value W/m²,PR %,Energy kWh,temp,pressure,humidity,weather_main,Date,Hour,Month,DayOfYear,WeekOfYear,plant_class,weather_class
2021-01-04 08:00:00,SN2-NAP83-599489,0.556,43.55,51.067,75.54,0.42,23.4,1010,88,Rain,2021-01-04,8,1,4,1,83,2
2021-01-04 09:00:00,SN2-NAP83-599489,1.312,43.55,120.467,88.415,1.16,23.85,1010,91,Rain,2021-01-04,9,1,4,1,83,2
2021-01-04 10:00:00,SN2-NAP83-599489,2.447,43.55,224.733,85.002,2.08,24.89,1011,85,Clouds,2021-01-04,10,1,4,1,83,1
2021-01-04 11:00:00,SN2-NAP83-599489,2.974,43.55,273.133,89.99,2.96,25.21,1011,83,Clouds,2021-01-04,11,1,4,1,83,1
2021-01-04 12:00:00,SN2-NAP83-599489,4.888,43.55,449.0,82.856,4.05,26.15,1010,78,Clouds,2021-01-04,12,1,4,1,83,1
2021-01-04 13:00:00,SN2-NAP83-599489,5.274,43.55,484.393,83.807,4.42,27.24,1009,78,Clouds,2021-01-04,13,1,4,1,83,1
2021-01-04 14:00:00,SN2-NAP83-599489,3.041,43.55,279.269,64.452,1.96,27.25,1008,78,Clouds,2021-01-04,14,1,4,1,83,1
2021-01-04 15:00:00,SN2-NAP83-599489,1.13,43.55,103.828,89.99,1.16,27.66,1008,73,Clouds,2021-01-04,15,1,4,1,83,1
2021-01-04 16:00:00,SN2-NAP83-599489,1.098,43.55,100.818,56.466,0.62,27.66,1008,74,Rain,2021-01-04,16,1,4,1,83,2
2021-01-04 17:00:00,SN2-NAP83-599489,1.279,43.55,117.52,89.99,1.7,27.99,1008,69,Rain,2021-01-04,17,1,4,1,83,2
2021-01-04 18:00:00,SN2-NAP83-599489,0.435,43.55,40.0,89.99,0.92,27.12,1008,76,Rain,2021-01-04,18,1,4,1,83,2
2021-01-04 19:00:00,SN2-NAP83-599489,0.153,43.55,14.067,58.824,0.09,26.3,1008,83,Clouds,2021-01-04,19,1,4,1,83,1
2021-01-05 08:00:00,SN2-NAP83-599489,0.637,43.55,58.467,50.235,0.32,24.03,1009,88,Clouds,2021-01-05,8,1,5,1,83,1
2021-01-05 09:00:00,SN2-NAP83-599489,2.923,43.55,268.467,89.634,2.62,26.09,1009,80,Clouds,2021-01-05,9,1,5,1,83,1
2021-01-05 10:00:00,SN2-NAP83-599489,4.721,43.55,433.6,82.186,3.88,27.16,1010,76,Clouds,2021-01-05,10,1,5,1,83,1
2021-01-05 11:00:00,SN2-NAP83-599489,5.396,43.55,495.6,89.99,4.99,28.45,1009,70,Clouds,2021-01-05,11,1,5,1,83,1
2021-01-05 12:00:00,SN2-NAP83-599489,14.001,43.55,1286.0,34.426,4.82,29.54,1009,66,Clouds,2021-01-05,12,1,5,1,83,1
2021-01-05 13:00:00,SN2-NAP83-599489,9.304,43.55,854.6,80.933,7.53,30.18,1008,64,Clouds,2021-01-05,13,1,5,1,83,1
2021-01-05 14:00:00,SN2-NAP83-599489,7.307,43.55,671.133,89.99,7.47,30.23,1007,64,Rain,2021-01-05,14,1,5,1,83,2
2021-01-05 15:00:00,SN2-NAP83-599489,3.87,43.55,355.467,89.99,7.25,30.82,1007,62,Clouds,2021-01-05,15,1,5,1,83,1
2021-01-05 16:00:00,SN2-NAP83-599489,2.873,43.55,263.867,89.99,3.52,30.07,1006,66,Rain,2021-01-05,16,1,5,1,83,2
2021-01-05 17:00:00,SN2-NAP83-599489,1.337,43.55,122.793,89.99,1.6,27.9,1006,76,Rain,2021-01-05,17,1,5,1,83,2
2021-01-05 18:00:00,SN2-NAP83-599489,0.49,43.55,45.0,85.714,0.42,27.46,1007,76,Clouds,2021-01-05,18,1,5,1,83,1
2021-01-05 19:00:00,SN2-NAP83-599489,0.168,43.55,15.467,89.99,0.17,27.02,1007,78,Clouds,2021-01-05,19,1,5,1,83,1
2021-01-06 08:00:00,SN2-NAP83-599489,0.465,43.55,42.667,89.99,0.5,25.51,1009,85,Clouds,2021-01-06,8,1,6,1,83,1
2021-01-06 09:00:00,SN2-NAP83-599489,1.532,43.55,140.733,89.99,1.51,26.46,1009,83,Clouds,2021-01-06,9,1,6,1,83,1
2021-01-06 10:00:00,SN2-NAP83-599489,3.67,43.55,337.067,89.99,4.6,27.53,1010,76,Clouds,2021-01-06,10,1,6,1,83,1
2021-01-06 11:00:00,SN2-NAP83-599489,6.085,43.55,558.933,76.91,4.68,27.58,1010,76,Clouds,2021-01-06,11,1,6,1,83,1
2021-01-06 12:00:00,SN2-NAP83-599489,2.395,43.55,220.0,89.99,3.98,28.22,1009,74,Clouds,2021-01-06,12,1,6,1,83,1
2021-01-06 13:00:00,SN2-NAP83-599489,8.628,43.55,792.429,81.827,7.06,28.85,1008,70,Rain,2021-01-06,13,1,6,1,83,2
2021-01-06 14:00:00,SN2-NAP83-599489,3.005,43.55,276.0,89.99,2.92,28.91,1007,66,Rain,2021-01-06,14,1,6,1,83,2
2021-01-06 15:00:00,SN2-NAP83-599489,9.973,43.55,916.045,57.355,5.72,27.81,1006,74,Rain,2021-01-06,15,1,6,1,83,2
