Datetime,Location Code,Expected Value kWh,Capacity kWp,IRR Value W/m²,PR %,Energy kWh,temp,pressure,humidity,weather_main,Date,Hour,Month,DayOfYear,WeekOfYear,plant_class,weather_class
2021-01-04 08:00:00,SN2-NAP40-599489,2.24,175.5,51.067,75.59,1.69,23.4,1010,88,Rain,2021-01-04,8,1,4,1,40,2
2021-01-04 09:00:00,SN2-NAP40-599489,5.285,175.5,120.467,86.846,4.58,23.85,1010,91,Rain,2021-01-04,9,1,4,1,40,2
2021-01-04 10:00:00,SN2-NAP40-599489,9.86,175.5,224.733,86.456,8.51,24.89,1011,85,Clouds,2021-01-04,10,1,4,1,40,1
2021-01-04 11:00:00,SN2-NAP40-599489,11.984,175.5,273.133,89.99,11.71,25.21,1011,83,Clouds,2021-01-04,11,1,4,1,40,1
2021-01-04 12:00:00,SN2-NAP40-599489,19.699,175.5,449.0,81.949,16.11,26.15,1010,78,Clouds,2021-01-04,12,1,4,1,40,1
2021-01-04 13:00:00,SN2-NAP40-599489,21.253,175.5,484.393,89.99,22.96,27.24,1009,78,Clouds,2021-01-04,13,1,4,1,40,1
2021-01-04 14:00:00,SN2-NAP40-599489,12.253,175.5,279.269,67.519,8.26,27.25,1008,78,Clouds,2021-01-04,14,1,4,1,40,1
2021-01-04 15:00:00,SN2-NAP40-599489,4.555,175.5,103.828,89.99,4.29,27.66,1008,73,Clouds,2021-01-04,15,1,4,1,40,1
2021-01-04 16:00:00,SN2-NAP40-599489,4.424,175.5,100.818,53.406,2.36,27.66,1008,74,Rain,2021-01-04,16,1,4,1,40,2
2021-01-04 17:00:00,SN2-NAP40-599489,5.156,175.5,117.52,89.99,6.93,27.99,1008,69,Rain,2021-01-04,17,1,4,1,40,2
2021-01-04 18:00:00,SN2-NAP40-599489,1.755,175.5,40.0,89.99,3.73,27.12,1008,76,Rain,2021-01-04,18,1,4,1,40,2
2021-01-04 19:00:00,SN2-NAP40-599489,0.617,175.5,14.067,58.26,0.36,26.3,1008,83,Clouds,2021-01-04,19,1,4,1,40,1
2021-01-05 08:00:00,SN2-NAP40-599489,2.565,175.5,58.467,43.514,1.1,24.03,1009,88,Clouds,2021-01-05,8,1,5,1,40,1
2021-01-05 09:00:00,SN2-NAP40-599489,11.779,175.5,268.467,74.605,8.63,26.09,1009,80,Clouds,2021-01-05,9,1,5,1,40,1
2021-01-05 10:00:00,SN2-NAP40-599489,19.024,175.5,433.6,86.038,16.81,27.16,1010,76,Clouds,2021-01-05,10,1,5,1,40,1
2021-01-05 11:00:00,SN2-NAP40-599489,21.744,175.5,495.6,86.861,18.92,28.45,1009,70,Clouds,2021-01-05,11,1,5,1,40,1
2021-01-05 12:00:00,SN2-NAP40-599489,56.423,175.5,1286.0,38.074,21.41,29.54,1009,66,Clouds,2021-01-05,12,1,5,1,40,1
2021-01-05 13:00:00,SN2-NAP40-599489,37.495,175.5,854.6,66.134,24.77,30.18,1008,64,Clouds,2021-01-05,13,1,5,1,40,1
2021-01-05 14:00:00,SN2-NAP40-599489,29.446,175.5,671.133,89.99,32.1,30.23,1007,64,Rain,2021-01-05,14,1,5,1,40,2
2021-01-05 15:00:00,SN2-NAP40-599489,15.596,175.5,355.467,89.99,23.11,30.82,1007,62,Clouds,2021-01-05,15,1,5,1,40,1
2021-01-05 16:00:00,SN2-NAP40-599489,11.577,175.5,263.867,89.99,15.56,30.07,1006,66,Rain,2021-01-05,16,1,5,1,40,2
2021-01-05 17:00:00,SN2-NAP40-599489,5.387,175.5,122.793,89.99,6.34,27.9,1006,76,Rain,2021-01-05,17,1,5,1,40,2
2021-01-05 18:00:00,SN2-NAP40-599489,1.974,175.5,45.0,82.146,1.62,27.46,1007,76,Clouds,2021-01-05,18,1,5,1,40,1
2021-01-05 19:00:00,SN2-NAP40-599489,0.679,175.5,15.467,89.99,0.62,27.02,1007,78,Clouds,2021-01-05,19,1,5,1,40,1
