Datetime,Location Code,Expected Value kWh,Capacity kWp,IRR Value W/m²,PR %,Energy kWh,temp,pressure,humidity,weather_main,Date,Hour,Month,DayOfYear,WeekOfYear,plant_class,weather_class
2021-01-04 08:00:00,SN2-NAP72-599489,0.826,64.675,51.067,70.218,0.58,23.4,1010,88,Rain,2021-01-04,8,1,4,1,72,2
2021-01-04 09:00:00,SN2-NAP72-599489,1.948,64.675,120.467,83.676,1.63,23.85,1010,91,Rain,2021-01-04,9,1,4,1,72,2
2021-01-04 10:00:00,SN2-NAP72-599489,3.634,64.675,224.733,82.554,3.0,24.89,1011,85,Clouds,2021-01-04,10,1,4,1,72,1
2021-01-04 11:00:00,SN2-NAP72-599489,4.416,64.675,273.133,89.99,4.36,25.21,1011,83,Clouds,2021-01-04,11,1,4,1,72,1
2021-01-04 12:00:00,SN2-NAP72-599489,7.26,64.675,449.0,82.507,5.99,26.15,1010,78,Clouds,2021-01-04,12,1,4,1,72,1
2021-01-04 13:00:00,SN2-NAP72-599489,7.832,64.675,484.393,75.715,5.93,27.24,1009,78,Clouds,2021-01-04,13,1,4,1,72,1
2021-01-04 14:00:00,SN2-NAP72-599489,4.515,64.675,279.269,63.344,2.86,27.25,1008,78,Clouds,2021-01-04,14,1,4,1,72,1
2021-01-04 15:00:00,SN2-NAP72-599489,1.679,64.675,103.828,89.99,1.76,27.66,1008,73,Clouds,2021-01-04,15,1,4,1,72,1
2021-01-04 16:00:00,SN2-NAP72-599489,1.63,64.675,100.818,55.215,0.9,27.66,1008,74,Rain,2021-01-04,16,1,4,1,72,2
2021-01-04 17:00:00,SN2-NAP72-599489,1.9,64.675,117.52,89.99,2.39,27.99,1008,69,Rain,2021-01-04,17,1,4,1,72,2
2021-01-04 18:00:00,SN2-NAP72-599489,0.647,64.675,40.0,89.99,1.31,27.12,1008,76,Rain,2021-01-04,18,1,4,1,72,2
2021-01-04 19:00:00,SN2-NAP72-599489,0.227,64.675,14.067,52.863,0.12,26.3,1008,83,Clouds,2021-01-04,19,1,4,1,72,1
2021-01-05 08:00:00,SN2-NAP72-599489,0.945,64.675,58.467,43.386,0.41,24.03,1009,88,Clouds,2021-01-05,8,1,5,1,72,1
2021-01-05 09:00:00,SN2-NAP72-599489,4.341,64.675,268.467,82.7,3.59,26.09,1009,80,Clouds,2021-01-05,9,1,5,1,72,1
2021-01-05 10:00:00,SN2-NAP72-599489,7.011,64.675,433.6,86.436,6.06,27.16,1010,76,Clouds,2021-01-05,10,1,5,1,72,1
2021-01-05 11:00:00,SN2-NAP72-599489,8.013,64.675,495.6,89.99,8.1,28.45,1009,70,Clouds,2021-01-05,11,1,5,1,72,1
2021-01-05 12:00:00,SN2-NAP72-599489,20.793,64.675,1286.0,34.194,7.11,29.54,1009,66,Clouds,2021-01-05,12,1,5,1,72,1
2021-01-05 13:00:00,SN2-NAP72-599489,13.818,64.675,854.6,89.99,12.5,30.18,1008,64,Clouds,2021-01-05,13,1,5,1,72,1
2021-01-05 14:00:00,SN2-NAP72-599489,10.851,64.675,671.133,89.99,12.0,30.23,1007,64,Rain,2021-01-05,14,1,5,1,72,2
2021-01-05 15:00:00,SN2-NAP72-599489,5.747,64.675,355.467,89.99,11.0,30.82,1007,62,Clouds,2021-01-05,15,1,5,1,72,1
2021-01-05 16:00:00,SN2-NAP72-599489,4.266,64.675,263.867,89.99,5.05,30.07,1006,66,Rain,2021-01-05,16,1,5,1,72,2
2021-01-05 17:00:00,SN2-NAP72-599489,1.985,64.675,122.793,89.99,2.25,27.9,1006,76,Rain,2021-01-05,17,1,5,1,72,2
2021-01-05 18:00:00,SN2-NAP72-599489,0.728,64.675,45.0,78.297,0.57,27.46,1007,76,Clouds,2021-01-05,18,1,5,1,72,1
2021-01-05 19:00:00,SN2-NAP72-599489,0.25,64.675,15.467,84.0,0.21,27.02,1007,78,Clouds,2021-01-05,19,1,5,1,72,1
2021-01-06 08:00:00,SN2-NAP72-599489,0.69,64.675,42.667,89.99,0.65,25.51,1009,85,Clouds,2021-01-06,8,1,6,1,72,1
2021-01-06 09:00:00,SN2-NAP72-599489,2.275,64.675,140.733,89.99,2.26,26.46,1009,83,Clouds,2021-01-06,9,1,6,1,72,1
2021-01-06 10:00:00,SN2-NAP72-599489,5.45,64.675,337.067,89.99,7.19,27.53,1010,76,Clouds,2021-01-06,10,1,6,1,72,1
2021-01-06 11:00:00,SN2-NAP72-599489,9.037,64.675,558.933,80.89,7.31,27.58,1010,76,Clouds,2021-01-06,11,1,6,1,72,1
2021-01-06 12:00:00,SN2-NAP72-599489,3.557,64.675,220.0,89.99,5.89,28.22,1009,74,Clouds,2021-01-06,12,1,6,1,72,1
2021-01-06 13:00:00,SN2-NAP72-599489,12.813,64.675,792.429,85.148,10.91,28.85,1008,70,Rain,2021-01-06,13,1,6,1,72,2
