Datetime,Location Code,Expected Value kWh,Capacity kWp,IRR Value W/m²,PR %,Energy kWh,temp,pressure,humidity,weather_main,Date,Hour,Month,DayOfYear,WeekOfYear,plant_class,weather_class
2021-01-04 08:00:00,SN2-NAP58-599489,0.884,69.225,51.067,76.923,0.68,23.4,1010,88,Rain,2021-01-04,8,1,4,1,58,2
2021-01-04 09:00:00,SN2-NAP58-599489,2.085,69.225,120.467,89.688,1.87,23.85,1010,91,Rain,2021-01-04,9,1,4,1,58,2
2021-01-04 10:00:00,SN2-NAP58-599489,3.889,69.225,224.733,87.94,3.42,24.89,1011,85,Clouds,2021-01-04,10,1,4,1,58,1
2021-01-04 11:00:00,SN2-NAP58-599489,4.727,69.225,273.133,89.99,4.9,25.21,1011,83,Clouds,2021-01-04,11,1,4,1,58,1
2021-01-04 12:00:00,SN2-NAP58-599489,7.771,69.225,449.0,88.406,6.87,26.15,1010,78,Clouds,2021-01-04,12,1,4,1,58,1
2021-01-04 13:00:00,SN2-NAP58-599489,8.383,69.225,484.393,89.99,7.99,27.24,1009,78,Clouds,2021-01-04,13,1,4,1,58,1
2021-01-04 14:00:00,SN2-NAP58-599489,4.833,69.225,279.269,69.108,3.34,27.25,1008,78,Clouds,2021-01-04,14,1,4,1,58,1
2021-01-04 15:00:00,SN2-NAP58-599489,1.797,69.225,103.828,89.99,1.95,27.66,1008,73,Clouds,2021-01-04,15,1,4,1,58,1
2021-01-04 16:00:00,SN2-NAP58-599489,1.745,69.225,100.818,57.88,1.01,27.66,1008,74,Rain,2021-01-04,16,1,4,1,58,2
2021-01-04 17:00:00,SN2-NAP58-599489,2.034,69.225,117.52,89.99,2.78,27.99,1008,69,Rain,2021-01-04,17,1,4,1,58,2
2021-01-04 18:00:00,SN2-NAP58-599489,0.692,69.225,40.0,89.99,1.53,27.12,1008,76,Rain,2021-01-04,18,1,4,1,58,2
2021-01-04 19:00:00,SN2-NAP58-599489,0.243,69.225,14.067,61.728,0.15,26.3,1008,83,Clouds,2021-01-04,19,1,4,1,58,1
2021-01-05 08:00:00,SN2-NAP58-599489,1.012,69.225,58.467,50.395,0.51,24.03,1009,88,Clouds,2021-01-05,8,1,5,1,58,1
2021-01-05 09:00:00,SN2-NAP58-599489,4.646,69.225,268.467,86.526,4.02,26.09,1009,80,Clouds,2021-01-05,9,1,5,1,58,1
2021-01-05 10:00:00,SN2-NAP58-599489,7.504,69.225,433.6,89.99,6.93,27.16,1010,76,Clouds,2021-01-05,10,1,5,1,58,1
2021-01-05 11:00:00,SN2-NAP58-599489,8.577,69.225,495.6,89.99,8.96,28.45,1009,70,Clouds,2021-01-05,11,1,5,1,58,1
2021-01-05 12:00:00,SN2-NAP58-599489,22.256,69.225,1286.0,38.641,8.6,29.54,1009,66,Clouds,2021-01-05,12,1,5,1,58,1
2021-01-05 13:00:00,SN2-NAP58-599489,14.79,69.225,854.6,85.463,12.64,30.18,1008,64,Clouds,2021-01-05,13,1,5,1,58,1
2021-01-05 14:00:00,SN2-NAP58-599489,11.615,69.225,671.133,89.99,12.56,30.23,1007,64,Rain,2021-01-05,14,1,5,1,58,2
