Datetime,Location Code,Expected Value kWh,Capacity kWp,IRR Value W/m²,PR %,Energy kWh,temp,pressure,humidity,weather_main,Date,Hour,Month,DayOfYear,WeekOfYear,plant_class,weather_class
2021-01-04 08:00:00,SN2-NAPCC-599489,1.884,147.55,51.067,76.433,1.44,23.4,1010,88,Rain,2021-01-04,8,1,4,1,68,2
2021-01-04 09:00:00,SN2-NAPCC-599489,4.444,147.55,120.467,88.209,3.92,23.85,1010,91,Rain,2021-01-04,9,1,4,1,68,2
2021-01-04 10:00:00,SN2-NAPCC-599489,8.29,147.55,224.733,85.645,7.1,24.89,1011,85,Clouds,2021-01-04,10,1,4,1,68,1
2021-01-04 11:00:00,SN2-NAPCC-599489,10.075,147.55,273.133,89.99,10.19,25.21,1011,83,Clouds,2021-01-04,11,1,4,1,68,1
2021-01-04 12:00:00,SN2-NAPCC-599489,16.562,147.55,449.0,85.255,14.12,26.15,1010,78,Clouds,2021-01-04,12,1,4,1,68,1
2021-01-04 13:00:00,SN2-NAPCC-599489,17.868,147.55,484.393,81.095,14.49,27.24,1009,78,Clouds,2021-01-04,13,1,4,1,68,1
2021-01-04 14:00:00,SN2-NAPCC-599489,10.302,147.55,279.269,66.298,6.83,27.25,1008,78,Clouds,2021-01-04,14,1,4,1,68,1
2021-01-04 15:00:00,SN2-NAPCC-599489,3.83,147.55,103.828,89.99,4.06,27.66,1008,73,Clouds,2021-01-04,15,1,4,1,68,1
2021-01-04 16:00:00,SN2-NAPCC-599489,3.719,147.55,100.818,57.542,2.14,27.66,1008,74,Rain,2021-01-04,16,1,4,1,68,2
2021-01-04 17:00:00,SN2-NAPCC-599489,4.335,147.55,117.52,89.99,5.81,27.99,1008,69,Rain,2021-01-04,17,1,4,1,68,2
2021-01-04 18:00:00,SN2-NAPCC-599489,1.476,147.55,40.0,89.99,3.2,27.12,1008,76,Rain,2021-01-04,18,1,4,1,68,2
2021-01-04 19:00:00,SN2-NAPCC-599489,0.519,147.55,14.067,59.73,0.31,26.3,1008,83,Clouds,2021-01-04,19,1,4,1,68,1
2021-01-05 08:00:00,SN2-NAPCC-599489,2.157,147.55,58.467,51.924,1.12,24.03,1009,88,Clouds,2021-01-05,8,1,5,1,68,1
2021-01-05 09:00:00,SN2-NAPCC-599489,9.903,147.55,268.467,87.246,8.64,26.09,1009,80,Clouds,2021-01-05,9,1,5,1,68,1
2021-01-05 10:00:00,SN2-NAPCC-599489,15.994,147.55,433.6,85.47,13.67,27.16,1010,76,Clouds,2021-01-05,10,1,5,1,68,1
2021-01-05 11:00:00,SN2-NAPCC-599489,18.281,147.55,495.6,89.99,17.99,28.45,1009,70,Clouds,2021-01-05,11,1,5,1,68,1
2021-01-05 12:00:00,SN2-NAPCC-599489,47.437,147.55,1286.0,34.509,16.37,29.54,1009,66,Clouds,2021-01-05,12,1,5,1,68,1
2021-01-05 13:00:00,SN2-NAPCC-599489,31.524,147.55,854.6,84.253,26.56,30.18,1008,64,Clouds,2021-01-05,13,1,5,1,68,1
2021-01-05 14:00:00,SN2-NAPCC-599489,24.756,147.55,671.133,89.99,24.79,30.23,1007,64,Rain,2021-01-05,14,1,5,1,68,2
2021-01-05 15:00:00,SN2-NAPCC-599489,13.112,147.55,355.467,89.99,24.8,30.82,1007,62,Clouds,2021-01-05,15,1,5,1,68,1
2021-01-05 16:00:00,SN2-NAPCC-599489,9.733,147.55,263.867,89.99,12.08,30.07,1006,66,Rain,2021-01-05,16,1,5,1,68,2
2021-01-05 17:00:00,SN2-NAPCC-599489,4.53,147.55,122.793,89.99,5.44,27.9,1006,76,Rain,2021-01-05,17,1,5,1,68,2
2021-01-05 18:00:00,SN2-NAPCC-599489,1.66,147.55,45.0,85.542,1.42,27.46,1007,76,Clouds,2021-01-05,18,1,5,1,68,1
2021-01-05 19:00:00,SN2-NAPCC-599489,0.571,147.55,15.467,87.566,0.5,27.02,1007,78,Clouds,2021-01-05,19,1,5,1,68,1
2021-01-06 08:00:00,SN2-NAPCC-599489,1.574,147.55,42.667,89.99,1.71,25.51,1009,85,Clouds,2021-01-06,8,1,6,1,68,1
2021-01-06 09:00:00,SN2-NAPCC-599489,5.191,147.55,140.733,89.99,5.37,26.46,1009,83,Clouds,2021-01-06,9,1,6,1,68,1
2021-01-06 10:00:00,SN2-NAPCC-599489,12.434,147.55,337.067,89.99,15.98,27.53,1010,76,Clouds,2021-01-06,10,1,6,1,68,1
2021-01-06 11:00:00,SN2-NAPCC-599489,20.618,147.55,558.933,79.736,16.44,27.58,1010,76,Clouds,2021-01-06,11,1,6,1,68,1
2021-01-06 12:00:00,SN2-NAPCC-599489,8.115,147.55,220.0,89.99,13.61,28.22,1009,74,Clouds,2021-01-06,12,1,6,1,68,1
2021-01-06 13:00:00,SN2-NAPCC-599489,29.231,147.55,792.429,81.489,23.82,28.85,1008,70,Rain,2021-01-06,13,1,6,1,68,2
2021-01-06 14:00:00,SN2-NAPCC-599489,10.181,147.55,276.0,89.99,9.69,28.91,1007,66,Rain,2021-01-06,14,1,6,1,68,2
2021-01-06 15:00:00,SN2-NAPCC-599489,33.791,147.55,916.045,59.365,20.06,27.81,1006,74,Rain,2021-01-06,15,1,6,1,68,2
2021-01-06 16:00:00,SN2-NAPCC-599489,10.246,147.55,277.773,68.905,7.06,28.97,1006,64,Rain,2021-01-06,16,1,6,1,68,2
2021-01-06 17:00:00,SN2-NAPCC-599489,8.211,147.55,222.6,89.99,10.82,28.72,1005,66,Rain,2021-01-06,17,1,6,1,68,2
2021-01-06 18:00:00,SN2-NAPCC-599489,3.689,147.55,100.0,89.99,4.13,28.26,1006,64,Rain,2021-01-06,18,1,6,1,68,2
2021-01-06 19:00:00,SN2-NAPCC-599489,0.679,147.55,18.4,88.365,0.6,27.58,1007,65,Clouds,2021-01-06,19,1,6,1,68,1
2021-01-07 08:00:00,SN2-NAPCC-599489,2.004,147.55,54.333,89.82,1.8,24.23,1008,94,Rain,2021-01-07,8,1,7,1,68,2
2021-01-07 09:00:00,SN2-NAPCC-599489,5.024,147.55,136.2,89.99,5.45,24.61,1009,91,Rain,2021-01-07,9,1,7,1,68,2
2021-01-07 10:00:00,SN2-NAPCC-599489,2.843,147.55,77.067,89.99,2.66,24.61,1010,91,Rain,2021-01-07,10,1,7,1,68,2
2021-01-07 11:00:00,SN2-NAPCC-599489,3.239,147.55,87.8,89.99,3.26,25.08,1010,88,Rain,2021-01-07,11,1,7,1,68,2
2021-01-07 12:00:00,SN2-NAPCC-599489,5.422,147.55,147.0,89.99,5.62,24.71,1010,92,Rain,2021-01-07,12,1,7,1,68,2
2021-01-07 13:00:00,SN2-NAPCC-599489,5.314,147.55,144.067,89.99,5.05,24.89,1009,88,Rain,2021-01-07,13,1,7,1,68,2
2021-01-07 14:00:00,SN2-NAPCC-599489,5.09,147.55,138.0,89.99,5.26,24.31,1008,92,Rain,2021-01-07,14,1,7,1,68,2
