Datetime,Location Code,Expected Value kWh,Capacity kWp,IRR Value W/m²,PR %,Energy kWh,temp,pressure,humidity,weather_main,Date,Hour,Month,DayOfYear,WeekOfYear,plant_class,weather_class
2021-01-04 08:00:00,SN2-NAP47-599489,1.469,115.05,51.067,78.285,1.15,23.4,1010,88,Rain,2021-01-04,8,1,4,1,47,2
2021-01-04 09:00:00,SN2-NAP47-599489,3.465,115.05,120.467,89.99,3.15,23.85,1010,91,Rain,2021-01-04,9,1,4,1,47,2
2021-01-04 10:00:00,SN2-NAP47-599489,6.464,115.05,224.733,89.99,5.82,24.89,1011,85,Clouds,2021-01-04,10,1,4,1,47,1
2021-01-04 11:00:00,SN2-NAP47-599489,7.856,115.05,273.133,89.99,8.09,25.21,1011,83,Clouds,2021-01-04,11,1,4,1,47,1
2021-01-04 12:00:00,SN2-NAP47-599489,12.914,115.05,449.0,86.65,11.19,26.15,1010,78,Clouds,2021-01-04,12,1,4,1,47,1
2021-01-04 13:00:00,SN2-NAP47-599489,13.932,115.05,484.393,89.99,16.4,27.24,1009,78,Clouds,2021-01-04,13,1,4,1,47,1
2021-01-04 14:00:00,SN2-NAP47-599489,8.032,115.05,279.269,70.095,5.63,27.25,1008,78,Clouds,2021-01-04,14,1,4,1,47,1
2021-01-04 15:00:00,SN2-NAP47-599489,2.986,115.05,103.828,89.99,2.98,27.66,1008,73,Clouds,2021-01-04,15,1,4,1,47,1
2021-01-04 16:00:00,SN2-NAP47-599489,2.9,115.05,100.818,56.552,1.64,27.66,1008,74,Rain,2021-01-04,16,1,4,1,47,2
2021-01-04 17:00:00,SN2-NAP47-599489,3.38,115.05,117.52,89.99,4.75,27.99,1008,69,Rain,2021-01-04,17,1,4,1,47,2
2021-01-04 18:00:00,SN2-NAP47-599489,1.151,115.05,40.0,89.99,2.53,27.12,1008,76,Rain,2021-01-04,18,1,4,1,47,2
2021-01-04 19:00:00,SN2-NAP47-599489,0.405,115.05,14.067,61.728,0.25,26.3,1008,83,Clouds,2021-01-04,19,1,4,1,47,1
2021-01-05 08:00:00,SN2-NAP47-599489,1.682,115.05,58.467,49.941,0.84,24.03,1009,88,Clouds,2021-01-05,8,1,5,1,47,1
2021-01-05 09:00:00,SN2-NAP47-599489,7.722,115.05,268.467,89.355,6.9,26.09,1009,80,Clouds,2021-01-05,9,1,5,1,47,1
2021-01-05 10:00:00,SN2-NAP47-599489,12.471,115.05,433.6,89.99,11.74,27.16,1010,76,Clouds,2021-01-05,10,1,5,1,47,1
2021-01-05 11:00:00,SN2-NAP47-599489,14.255,115.05,495.6,89.99,13.31,28.45,1009,70,Clouds,2021-01-05,11,1,5,1,47,1
2021-01-05 12:00:00,SN2-NAP47-599489,36.989,115.05,1286.0,41.093,15.2,29.54,1009,66,Clouds,2021-01-05,12,1,5,1,47,1
2021-01-05 13:00:00,SN2-NAP47-599489,24.58,115.05,854.6,74.288,18.26,30.18,1008,64,Clouds,2021-01-05,13,1,5,1,47,1
2021-01-05 14:00:00,SN2-NAP47-599489,19.303,115.05,671.133,89.99,22.18,30.23,1007,64,Rain,2021-01-05,14,1,5,1,47,2
2021-01-05 15:00:00,SN2-NAP47-599489,10.224,115.05,355.467,89.99,17.65,30.82,1007,62,Clouds,2021-01-05,15,1,5,1,47,1
2021-01-05 16:00:00,SN2-NAP47-599489,7.589,115.05,263.867,89.99,10.64,30.07,1006,66,Rain,2021-01-05,16,1,5,1,47,2
2021-01-05 17:00:00,SN2-NAP47-599489,3.532,115.05,122.793,89.99,4.41,27.9,1006,76,Rain,2021-01-05,17,1,5,1,47,2
2021-01-05 18:00:00,SN2-NAP47-599489,1.294,115.05,45.0,88.872,1.15,27.46,1007,76,Clouds,2021-01-05,18,1,5,1,47,1
2021-01-05 19:00:00,SN2-NAP47-599489,0.445,115.05,15.467,89.99,0.49,27.02,1007,78,Clouds,2021-01-05,19,1,5,1,47,1
2021-01-06 08:00:00,SN2-NAP47-599489,1.227,115.05,42.667,89.99,1.34,25.51,1009,85,Clouds,2021-01-06,8,1,6,1,47,1
2021-01-06 09:00:00,SN2-NAP47-599489,4.048,115.05,140.733,89.99,3.99,26.46,1009,83,Clouds,2021-01-06,9,1,6,1,47,1
2021-01-06 10:00:00,SN2-NAP47-599489,9.695,115.05,337.067,89.99,12.0,27.53,1010,76,Clouds,2021-01-06,10,1,6,1,47,1
2021-01-06 11:00:00,SN2-NAP47-599489,16.076,115.05,558.933,80.804,12.99,27.58,1010,76,Clouds,2021-01-06,11,1,6,1,47,1
2021-01-06 12:00:00,SN2-NAP47-599489,6.328,115.05,220.0,89.99,11.2,28.22,1009,74,Clouds,2021-01-06,12,1,6,1,47,1
2021-01-06 13:00:00,SN2-NAP47-599489,22.792,115.05,792.429,88.979,20.28,28.85,1008,70,Rain,2021-01-06,13,1,6,1,47,2
2021-01-06 14:00:00,SN2-NAP47-599489,7.938,115.05,276.0,89.99,8.14,28.91,1007,66,Rain,2021-01-06,14,1,6,1,47,2
2021-01-06 15:00:00,SN2-NAP47-599489,26.348,115.05,916.045,59.208,15.6,27.81,1006,74,Rain,2021-01-06,15,1,6,1,47,2
2021-01-06 16:00:00,SN2-NAP47-599489,7.989,115.05,277.773,73.726,5.89,28.97,1006,64,Rain,2021-01-06,16,1,6,1,47,2
2021-01-06 17:00:00,SN2-NAP47-599489,6.403,115.05,222.6,89.99,9.57,28.72,1005,66,Rain,2021-01-06,17,1,6,1,47,2
2021-01-06 18:00:00,SN2-NAP47-599489,2.876,115.05,100.0,89.99,3.37,28.26,1006,64,Rain,2021-01-06,18,1,6,1,47,2
2021-01-06 19:00:00,SN2-NAP47-599489,0.529,115.05,18.4,88.847,0.47,27.58,1007,65,Clouds,2021-01-06,19,1,6,1,47,1
2021-01-07 08:00:00,SN2-NAP47-599489,1.563,115.05,54.333,89.99,1.45,24.23,1008,94,Rain,2021-01-07,8,1,7,1,47,2
2021-01-07 09:00:00,SN2-NAP47-599489,3.917,115.05,136.2,89.99,4.35,24.61,1009,91,Rain,2021-01-07,9,1,7,1,47,2
2021-01-07 10:00:00,SN2-NAP47-599489,2.217,115.05,77.067,89.99,2.17,24.61,1010,91,Rain,2021-01-07,10,1,7,1,47,2
2021-01-07 11:00:00,SN2-NAP47-599489,2.525,115.05,87.8,89.99,2.64,25.08,1010,88,Rain,2021-01-07,11,1,7,1,47,2
2021-01-07 12:00:00,SN2-NAP47-599489,4.228,115.05,147.0,89.99,4.57,24.71,1010,92,Rain,2021-01-07,12,1,7,1,47,2
2021-01-07 13:00:00,SN2-NAP47-599489,4.144,115.05,144.067,89.99,4.08,24.89,1009,88,Rain,2021-01-07,13,1,7,1,47,2
2021-01-07 14:00:00,SN2-NAP47-599489,3.969,115.05,138.0,89.99,4.23,24.31,1008,92,Rain,2021-01-07,14,1,7,1,47,2
2021-01-07 15:00:00,SN2-NAP47-599489,3.086,115.05,107.276,89.99,3.29,24.23,1007,88,Rain,2021-01-07,15,1,7,1,47,2
2021-01-07 16:00:00,SN2-NAP47-599489,2.5,115.05,86.933,89.99,2.36,24.2,1006,88,Rain,2021-01-07,16,1,7,1,47,2
2021-01-07 17:00:00,SN2-NAP47-599489,2.748,115.05,95.533,89.99,2.62,24.2,1006,88,Rain,2021-01-07,17,1,7,1,47,2
2021-01-07 18:00:00,SN2-NAP47-599489,1.151,115.05,40.0,89.99,1.2,24.2,1006,88,Rain,2021-01-07,18,1,7,1,47,2
2021-01-07 19:00:00,SN2-NAP47-599489,0.251,115.05,8.731,75.697,0.19,24.0,1007,88,Rain,2021-01-07,19,1,7,1,47,2
2021-01-08 08:00:00,SN2-NAP47-599489,0.265,115.05,9.222,89.99,0.31,24.2,1008,94,Rain,2021-01-08,8,1,8,1,47,2
2021-01-08 09:00:00,SN2-NAP47-599489,1.406,115.05,48.867,89.99,1.39,24.89,1009,94,Rain,2021-01-08,9,1,8,1,47,2
2021-01-08 10:00:00,SN2-NAP47-599489,5.884,115.05,204.562,89.99,6.12,25.74,1009,91,Clouds,2021-01-08,10,1,8,1,47,1
2021-01-08 11:00:00,SN2-NAP47-599489,7.724,115.05,268.533,89.99,7.59,27.64,1009,83,Clouds,2021-01-08,11,1,8,1,47,1
2021-01-08 12:00:00,SN2-NAP47-599489,7.68,115.05,267.0,79.036,6.07,26.19,1009,88,Rain,2021-01-08,12,1,8,1,47,2
2021-01-08 13:00:00,SN2-NAP47-599489,6.681,115.05,232.267,86.664,5.79,25.48,1008,94,Rain,2021-01-08,13,1,8,1,47,2
2021-01-08 14:00:00,SN2-NAP47-599489,5.146,115.05,178.917,89.99,5.15,26.7,1007,86,Rain,2021-01-08,14,1,8,1,47,2
2021-01-08 15:00:00,SN2-NAP47-599489,6.535,115.05,227.192,89.99,6.73,26.25,1006,86,Rain,2021-01-08,15,1,8,1,47,2
2021-01-08 16:00:00,SN2-NAP47-599489,2.731,115.05,94.933,62.614,1.71,25.74,1006,91,Rain,2021-01-08,16,1,8,1,47,2
2021-01-08 17:00:00,SN2-NAP47-599489,5.304,115.05,184.4,89.99,4.91,25.64,1005,91,Rain,2021-01-08,17,1,8,1,47,2
2021-01-08 18:00:00,SN2-NAP47-599489,2.847,115.05,99.0,89.99,2.7,26.77,1006,86,Rain,2021-01-08,18,1,8,1,47,2
2021-01-08 19:00:00,SN2-NAP47-599489,0.529,115.05,18.4,85.066,0.45,26.52,1006,86,Clouds,2021-01-08,19,1,8,1,47,1
2021-01-09 08:00:00,SN2-NAP47-599489,1.361,115.05,47.333,78.619,1.07,25.12,1009,88,Rain,2021-01-09,8,1,9,1,47,2
2021-01-09 09:00:00,SN2-NAP47-599489,5.551,115.05,193.0,89.99,6.59,26.12,1010,86,Clouds,2021-01-09,9,1,9,1,47,1
2021-01-09 10:00:00,SN2-NAP47-599489,9.829,115.05,341.733,65.622,6.45,26.0,1010,86,Rain,2021-01-09,10,1,9,1,47,2
