Datetime,Location Code,Expected Value kWh,Capacity kWp,IRR Value W/m²,PR %,Energy kWh,temp,pressure,humidity,weather_main,Date,Hour,Month,DayOfYear,WeekOfYear,plant_class,weather_class
2021-01-04 08:00:00,SN2-NAP56-599489,0.315,24.7,51.067,76.19,0.24,23.4,1010,88,Rain,2021-01-04,8,1,4,1,56,2
2021-01-04 09:00:00,SN2-NAP56-599489,0.744,24.7,120.467,89.99,0.67,23.85,1010,91,Rain,2021-01-04,9,1,4,1,56,2
2021-01-04 10:00:00,SN2-NAP56-599489,1.388,24.7,224.733,88.617,1.23,24.89,1011,85,Clouds,2021-01-04,10,1,4,1,56,1
2021-01-04 11:00:00,SN2-NAP56-599489,1.687,24.7,273.133,89.99,1.8,25.21,1011,83,Clouds,2021-01-04,11,1,4,1,56,1
2021-01-04 12:00:00,SN2-NAP56-599489,2.773,24.7,449.0,89.434,2.48,26.15,1010,78,Clouds,2021-01-04,12,1,4,1,56,1
2021-01-04 13:00:00,SN2-NAP56-599489,2.991,24.7,484.393,81.244,2.43,27.24,1009,78,Clouds,2021-01-04,13,1,4,1,56,1
2021-01-04 14:00:00,SN2-NAP56-599489,1.724,24.7,279.269,68.445,1.18,27.25,1008,78,Clouds,2021-01-04,14,1,4,1,56,1
2021-01-04 15:00:00,SN2-NAP56-599489,0.641,24.7,103.828,89.99,0.72,27.66,1008,73,Clouds,2021-01-04,15,1,4,1,56,1
2021-01-04 16:00:00,SN2-NAP56-599489,0.623,24.7,100.818,59.39,0.37,27.66,1008,74,Rain,2021-01-04,16,1,4,1,56,2
2021-01-04 17:00:00,SN2-NAP56-599489,0.726,24.7,117.52,89.99,0.98,27.99,1008,69,Rain,2021-01-04,17,1,4,1,56,2
2021-01-04 18:00:00,SN2-NAP56-599489,0.247,24.7,40.0,89.99,0.54,27.12,1008,76,Rain,2021-01-04,18,1,4,1,56,2
2021-01-04 19:00:00,SN2-NAP56-599489,0.087,24.7,14.067,45.977,0.04,26.3,1008,83,Clouds,2021-01-04,19,1,4,1,56,1
2021-01-05 08:00:00,SN2-NAP56-599489,0.361,24.7,58.467,38.781,0.14,24.03,1009,88,Clouds,2021-01-05,8,1,5,1,56,1
2021-01-05 09:00:00,SN2-NAP56-599489,1.658,24.7,268.467,85.042,1.41,26.09,1009,80,Clouds,2021-01-05,9,1,5,1,56,1
2021-01-05 10:00:00,SN2-NAP56-599489,2.677,24.7,433.6,89.99,2.72,27.16,1010,76,Clouds,2021-01-05,10,1,5,1,56,1
2021-01-05 11:00:00,SN2-NAP56-599489,3.06,24.7,495.6,89.99,3.55,28.45,1009,70,Clouds,2021-01-05,11,1,5,1,56,1
2021-01-05 12:00:00,SN2-NAP56-599489,7.941,24.7,1286.0,38.786,3.08,29.54,1009,66,Clouds,2021-01-05,12,1,5,1,56,1
2021-01-05 13:00:00,SN2-NAP56-599489,5.277,24.7,854.6,85.465,4.51,30.18,1008,64,Clouds,2021-01-05,13,1,5,1,56,1
2021-01-05 14:00:00,SN2-NAP56-599489,4.144,24.7,671.133,89.99,4.42,30.23,1007,64,Rain,2021-01-05,14,1,5,1,56,2
2021-01-05 15:00:00,SN2-NAP56-599489,2.195,24.7,355.467,89.99,4.31,30.82,1007,62,Clouds,2021-01-05,15,1,5,1,56,1
2021-01-05 16:00:00,SN2-NAP56-599489,1.629,24.7,263.867,89.99,2.17,30.07,1006,66,Rain,2021-01-05,16,1,5,1,56,2
2021-01-05 17:00:00,SN2-NAP56-599489,0.758,24.7,122.793,89.99,0.94,27.9,1006,76,Rain,2021-01-05,17,1,5,1,56,2
2021-01-05 18:00:00,SN2-NAP56-599489,0.278,24.7,45.0,89.928,0.25,27.46,1007,76,Clouds,2021-01-05,18,1,5,1,56,1
2021-01-05 19:00:00,SN2-NAP56-599489,0.096,24.7,15.467,89.99,0.09,27.02,1007,78,Clouds,2021-01-05,19,1,5,1,56,1
2021-01-06 08:00:00,SN2-NAP56-599489,0.263,24.7,42.667,89.99,0.27,25.51,1009,85,Clouds,2021-01-06,8,1,6,1,56,1
2021-01-06 09:00:00,SN2-NAP56-599489,0.869,24.7,140.733,89.99,1.0,26.46,1009,83,Clouds,2021-01-06,9,1,6,1,56,1
2021-01-06 10:00:00,SN2-NAP56-599489,2.081,24.7,337.067,89.99,3.05,27.53,1010,76,Clouds,2021-01-06,10,1,6,1,56,1
2021-01-06 11:00:00,SN2-NAP56-599489,3.451,24.7,558.933,89.99,3.13,27.58,1010,76,Clouds,2021-01-06,11,1,6,1,56,1
2021-01-06 12:00:00,SN2-NAP56-599489,1.359,24.7,220.0,89.99,2.4,28.22,1009,74,Clouds,2021-01-06,12,1,6,1,56,1
2021-01-06 13:00:00,SN2-NAP56-599489,4.893,24.7,792.429,86.246,4.22,28.85,1008,70,Rain,2021-01-06,13,1,6,1,56,2
2021-01-06 14:00:00,SN2-NAP56-599489,1.704,24.7,276.0,89.99,1.69,28.91,1007,66,Rain,2021-01-06,14,1,6,1,56,2
2021-01-06 15:00:00,SN2-NAP56-599489,5.657,24.7,916.045,63.461,3.59,27.81,1006,74,Rain,2021-01-06,15,1,6,1,56,2
2021-01-06 16:00:00,SN2-NAP56-599489,1.715,24.7,277.773,71.72,1.23,28.97,1006,64,Rain,2021-01-06,16,1,6,1,56,2
2021-01-06 17:00:00,SN2-NAP56-599489,1.375,24.7,222.6,89.99,1.92,28.72,1005,66,Rain,2021-01-06,17,1,6,1,56,2
2021-01-06 18:00:00,SN2-NAP56-599489,0.618,24.7,100.0,89.99,0.72,28.26,1006,64,Rain,2021-01-06,18,1,6,1,56,2
2021-01-06 19:00:00,SN2-NAP56-599489,0.114,24.7,18.4,87.719,0.1,27.58,1007,65,Clouds,2021-01-06,19,1,6,1,56,1
2021-01-07 08:00:00,SN2-NAP56-599489,0.336,24.7,54.333,89.99,0.33,24.23,1008,94,Rain,2021-01-07,8,1,7,1,56,2
2021-01-07 09:00:00,SN2-NAP56-599489,0.841,24.7,136.2,89.99,0.98,24.61,1009,91,Rain,2021-01-07,9,1,7,1,56,2
2021-01-07 10:00:00,SN2-NAP56-599489,0.476,24.7,77.067,89.99,0.46,24.61,1010,91,Rain,2021-01-07,10,1,7,1,56,2
2021-01-07 11:00:00,SN2-NAP56-599489,0.542,24.7,87.8,89.99,0.56,25.08,1010,88,Rain,2021-01-07,11,1,7,1,56,2
2021-01-07 12:00:00,SN2-NAP56-599489,0.908,24.7,147.0,89.99,0.99,24.71,1010,92,Rain,2021-01-07,12,1,7,1,56,2
2021-01-07 13:00:00,SN2-NAP56-599489,0.89,24.7,144.067,89.99,0.85,24.89,1009,88,Rain,2021-01-07,13,1,7,1,56,2
2021-01-07 14:00:00,SN2-NAP56-599489,0.852,24.7,138.0,89.99,0.91,24.31,1008,92,Rain,2021-01-07,14,1,7,1,56,2
2021-01-07 15:00:00,SN2-NAP56-599489,0.662,24.7,107.276,89.99,0.71,24.23,1007,88,Rain,2021-01-07,15,1,7,1,56,2
2021-01-07 16:00:00,SN2-NAP56-599489,0.537,24.7,86.933,89.99,0.5,24.2,1006,88,Rain,2021-01-07,16,1,7,1,56,2
2021-01-07 17:00:00,SN2-NAP56-599489,0.59,24.7,95.533,89.99,0.55,24.2,1006,88,Rain,2021-01-07,17,1,7,1,56,2
2021-01-07 18:00:00,SN2-NAP56-599489,0.247,24.7,40.0,89.99,0.25,24.2,1006,88,Rain,2021-01-07,18,1,7,1,56,2
2021-01-07 19:00:00,SN2-NAP56-599489,0.054,24.7,8.731,55.556,0.03,24.0,1007,88,Rain,2021-01-07,19,1,7,1,56,2
2021-01-08 08:00:00,SN2-NAP56-599489,0.057,24.7,9.222,89.99,0.06,24.2,1008,94,Rain,2021-01-08,8,1,8,1,56,2
